kamu/weaken.js:   23:47:13.364 | Batch: 279 - 6 |       W | +26.00ms
kamu/hack.js: 23:47:13.421 | Batch: 279 - 7     | H       | +43.00ms
kamu/grow.js:   23:47:13.457 | Batch: 279 - 7   |    G    | +59.00ms
kamu/weaken.js:   23:47:13.475 | Batch: 279 - 7 |       W | +57.00ms
kamu/hack.js: 23:47:13.492 | Batch: 279 - 8     | H       | +34.00ms
kamu/grow.js:   23:47:13.493 | Batch: 279 - 8   |    G    | +15.00ms
kamu/weaken.js:   23:47:13.517 | Batch: 279 - 8 |       W | +20.00ms
kamu/hack.js: 23:47:13.555 | Batch: 279 - 9     | H       | +17.00ms
kamu/grow.js:   23:47:13.568 | Batch: 279 - 9   |    G    | +10.00ms
kamu/grow.js:   23:47:13.568 | Batch: 279 - 9   |    G    | +10.00ms
kamu/weaken.js:   23:47:13.581 | Batch: 279 - 9 |       W | +3.00ms
kamu/hack.js: 23:47:13.643 | Batch: 280 - 0     | H       | +20.00ms
kamu/grow.js:   23:47:13.676 | Batch: 280 - 0   |    G    | +33.00ms
kamu/weaken.js:   23:47:13.697 | Batch: 280 - 0 |       W | +34.00ms
kamu/hack.js: 23:47:13.734 | Batch: 280 - 1     | H       | +31.00ms
kamu/grow.js:   23:47:13.736 | Batch: 280 - 1   |    G    | +13.00ms
kamu/weaken.js:   23:47:13.770 | Batch: 280 - 1 |       W | +27.00ms
kamu/hack.js: 23:47:13.797 | Batch: 280 - 2     | H       | +14.00ms
kamu/grow.js:   23:47:13.831 | Batch: 280 - 2   |    G    | +28.00ms
kamu/weaken.js:   23:47:13.854 | Batch: 280 - 2 |       W | +31.00ms
kamu/hack.js: 23:47:13.881 | Batch: 280 - 3     | H       | +18.00ms
kamu/grow.js:   23:47:13.902 | Batch: 280 - 3   |    G    | +19.00ms
kamu/weaken.js:   23:47:13.939 | Batch: 280 - 3 |       W | +36.00ms
kamu/hack.js: 23:47:13.973 | Batch: 280 - 4     | H       | +30.00ms
kamu/grow.js:   23:47:13.988 | Batch: 280 - 4   |    G    | +25.00ms
kamu/weaken.js:   23:47:13.994 | Batch: 280 - 4 |       W | +11.00ms
kamu/hack.js: 23:47:14.042 | Batch: 280 - 5     | H       | +19.00ms
kamu/grow.js:   23:47:14.069 | Batch: 280 - 5   |    G    | +26.00ms
kamu/weaken.js:   23:47:14.083 | Batch: 280 - 5 |       W | +20.00ms
kamu/hack.js: 23:47:14.129 | Batch: 280 - 6     | H       | +26.00ms
kamu/grow.js:   23:47:14.144 | Batch: 280 - 6   |    G    | +21.00ms
kamu/weaken.js:   23:47:14.173 | Batch: 280 - 6 |       W | +30.00ms
kamu/hack.js: 23:47:14.204 | Batch: 280 - 7     | H       | +21.00ms
kamu/grow.js:   23:47:14.239 | Batch: 280 - 7   |    G    | +36.00ms
kamu/weaken.js:   23:47:14.264 | Batch: 280 - 7 |       W | +41.00ms
kamu/hack.js: 23:47:14.310 | Batch: 280 - 8     | H       | +47.00ms
kamu/grow.js:   23:47:14.330 | Batch: 280 - 8   |    G    | +47.00ms
kamu/weaken.js:   23:47:14.359 | Batch: 280 - 8 |       W | +56.00ms
kamu/hack.js: 23:47:14.394 | Batch: 280 - 9     | H       | +51.00ms
kamu/grow.js:   23:47:14.415 | Batch: 280 - 9   |    G    | +52.00ms
kamu/weaken.js:   23:47:14.415 | Batch: 280 - 9 |       W | +32.00ms
kamu/hack.js: 23:47:14.485 | Batch: 281 - 0     | H       | +40.00ms
kamu/grow.js:   23:47:14.492 | Batch: 281 - 0   |    G    | +27.00ms
kamu/weaken.js:   23:47:14.492 | Batch: 281 - 0 |       W | +7.00ms
kamu/hack.js: 23:47:14.533 | Batch: 281 - 1     | H       | +8.00ms
kamu/grow.js:   23:47:14.570 | Batch: 281 - 1   |    G    | +25.00ms
kamu/weaken.js:   23:47:14.585 | Batch: 281 - 1 |       W | +20.00ms
kamu/hack.js: 23:47:14.639 | Batch: 281 - 2     | H       | +34.00ms
kamu/grow.js:   23:47:14.647 | Batch: 281 - 2   |    G    | +22.00ms
kamu/weaken.js:   23:47:14.670 | Batch: 281 - 2 |       W | +26.00ms
kamu/hack.js: 23:47:14.702 | Batch: 281 - 3     | H       | +17.00ms
kamu/grow.js:   23:47:14.735 | Batch: 281 - 3   |    G    | +30.00ms
kamu/weaken.js:   23:47:14.750 | Batch: 281 - 3 |       W | +25.00ms
kamu/hack.js: 23:47:14.798 | Batch: 281 - 4     | H       | +33.00ms
